id,developer
1000354,Midway Manufacturing
1000355,General Instrument Microelectronic
1000356,Atari
1000356,"Atari, Inc."
1000357,The Elektrik Keyboard Ltd.
1000359,Atari
1000359,"Atari, Inc."
1000360,Atari
1000360,"Atari, Inc."
1000361,General Instrument Microelectronic
1000362,"Commodore Business Machines, Inc."
1000362,Dave Nutting Associates
1000363,Exidy
1000364,(Archive) Atari Inc.
1000365,Magnavox
1000366,Magnavox
1000367,Coleco
1000368,M.E.M.
1000369,Bally Manufacturing
1000369,Dave Nutting Associates
1000370,"Sega Enterprises, Ltd."
1000371,Acetronic
1000371,Philips Semiconductors
1000372,General Instrument Microelectronic
1000373,Atari
1000374,Bandai
1000376,Mattel Electronics
1000377,Muse Software
1000378,Midway Manufacturing
1000379,Personal Software
1000380,Atari
1000380,"Atari, Inc."
1000381,The Elektrik Keyboard Ltd.
1000382,"Sega Enterprises, Ltd."
1000385,"Automated Simulations, Inc."
1000386,Acetronic
1000386,Philips Semiconductors
1000387,Bally Manufacturing
1000387,Arcade Engineering
1000388,Vectorbeam
1000389,Atari
1000389,"Atari, Inc."
1000390,Atari
1000390,"Atari, Inc."
1000391,Atari
1000391,"Atari, Inc."
1000392,Atari
1000392,Polyvox
1000393,Quelle
1000393,Atari
1000394,Atari
1000394,"Atari, Inc."
1000395,Magnavox
1000396,Magnavox
1000397,Bandai America
1000398,"Sega Enterprises, Ltd."
1000400,Mattel Electronics
1000401,Philips Export B.V.
1000401,Magnavox
1000403,Acetronic
1000403,Philips Semiconductors
1000404,General Instrument Microelectronic
1000405,Exidy
1000406,Bally Manufacturing
1000406,Arcade Engineering
1000407,Atari
1000409,Leijac
1000409,Konami
1000411,"Sega Enterprises, Ltd."
1000411,Sega
1000412,"Mindware Co.,Ltd."
1000413,Nintendo
1000413,Nintendo R&D2
1000414,Magnavox
1000415,Magnavox
1000416,Philips
1000418,North American Philips Consumer Electronics Corp.
1000419,Vectorbeam
1000420,Cinematronics
1000420,GCE
1000421,Sega
1000421,Gremlin Industries
1000422,Atari
1000422,Sears
1000423,Atari
1000424,Sega/Gremlin
1000425,Taito
1000426,Atari
1000427,SNK
1000428,Midway Manufacturing
1000429,Taito
1000429,Technical Magic
1000431,Midway Manufacturing
1000431,Arcade Engineering
1000432,Atari
1000433,Midway Manufacturing
1000433,Arcade Engineering
1000434,Midway Manufacturing
1000436,Taito
1000437,Magnavox
1000438,Nintendo
1000438,Namco
1000439,Quantum Toast
1000439,Richard Garriott
1000440,Taito
1000441,Taito
1000441,Midway Manufacturing
1000442,"Automated Simulations, Inc."
1000442,Epyx
1000443,Leijac
1000443,Konami
1000444,"Automated Simulations, Inc."
1000444,Epyx
1000445,Atari Corporation
1000445,Atari
1000446,Cinematronics
1000447,Taito
1000448,"Universal Co., Ltd."
1000448,Imagineer
1000449,Namco
1000449,Polyvox
1000450,Infocom
1000451,Konami
1000452,Data East Corporation
1000452,Data East
1000453,Ikegami Tsushinki
1000453,Nintendo
1000454,Cinematronics
1000454,Vectorbeam
1000455,Nintendo R&D1
1000455,Nintendo
1000458,Taito
1000459,Vectorbeam
1000459,Cinematronics
1000460,Namco
1000462,"Sega Enterprises, Ltd."
1000463,"Atari, Inc."
1000463,Accolade
1000464,Game Plan
1000464,Konami
1000465,APh Technological Consulting
1000465,Mattel Electronics
1000466,SNK
1000467,Taito
1000468,Atari
1000469,Magnavox
1000470,"Universal Co., Ltd."
1000471,"Automated Simulations, Inc."
1000472,Mark Eastom
1000473,Texas Instruments Incorporated
1000473,Adventure International
1000475,Gremlin Industries
1000475,Sega
1000476,Exidy
1000477,Coleco
1000478,Exidy
1000479,Pleiades Game Company
1000481,Interton
1000482,Polyvox
1000482,Atari
1000483,SABA
1000484,subLOGIC
1000485,Atari
1000485,"Atari, Inc."
1000486,Irem Corporation
1000487,Tiger Electronics
1000488,Bally Manufacturing
1000488,Dave Nutting Associates
1000489,Teknon Kogyo
1000490,Bally Manufacturing
1000490,Dave Nutting Associates
1000491,International PC Owners
